idx,age,gender,race,date,purpose
53,56,1,0,20170109141253341.jpg.chip,2
54,3,0,0,20170110212807163.jpg.chip,2
55,24,1,4,20170117194809365.jpg.chip,0
56,35,1,1,20170109132740903.jpg.chip,0
57,40,1,1,20170116162028041.jpg.chip,0
58,50,0,0,20170117160612319.jpg.chip,0
59,55,1,1,20170112220123609.jpg.chip,0
60,9,0,0,20170110224736067.jpg.chip,2
61,32,1,1,20170116232547353.jpg.chip,1
62,27,1,3,20170117180001178.jpg.chip,0
63,54,1,0,20170117171651994.jpg.chip,0
64,28,0,1,20170117022132855.jpg.chip,2
65,25,1,2,20170116175247157.jpg.chip,0
66,8,1,4,20170109202334991.jpg.chip,2
67,60,1,3,20170109141933202.jpg.chip,0
68,70,0,0,20170104213700973.jpg.chip,0
69,24,1,1,20170112234357224.jpg.chip,0
70,30,1,2,20170116191902270.jpg.chip,0
71,67,0,0,20170109012902657.jpg.chip,2
72,37,1,0,20170105165040044.jpg.chip,2
73,89,1,3,20170109150838156.jpg.chip,2
74,61,1,1,20170117174626414.jpg.chip,0
75,41,0,0,20170109012220690.jpg.chip,0
76,34,0,1,20170117165134738.jpg.chip,1
77,21,1,1,20170114031610229.jpg.chip,0
78,32,1,1,20170116170930529.jpg.chip,0
79,23,1,3,20170119164602781.jpg.chip,0
80,63,1,3,20170117143046787.jpg.chip,0
81,10,1,0,20170109204746535.jpg.chip,0
82,75,0,0,20170111200622706.jpg.chip,0
83,26,0,1,20170116200636640.jpg.chip,2
84,27,0,0,20170104193647416.jpg.chip,0
85,60,0,3,20170119205909616.jpg.chip,0
86,28,0,1,20170116215621993.jpg.chip,0
87,35,0,2,20170116233726860.jpg.chip,0
88,28,1,0,20170116192508046.jpg.chip,1
89,25,0,0,20170117191852883.jpg.chip,0
90,52,0,4,20170104212325060.jpg.chip,2
91,42,0,0,20170109004710455.jpg.chip,0
92,48,0,0,20170104212017204.jpg.chip,0
93,54,0,0,20170111205229923.jpg.chip,1
94,28,1,2,20170116164602956.jpg.chip,1
95,31,1,0,20170117133158992.jpg.chip,2
96,26,0,1,20170116193423469.jpg.chip,0
97,8,0,2,20170110220614569.jpg.chip,0
98,51,0,0,20170117160754830.jpg.chip,1
99,26,1,2,20170116175919039.jpg.chip,2
100,30,1,0,20170117170803122.jpg.chip,0
101,31,1,1,20170114031659379.jpg.chip,0
102,32,1,1,20170113001556123.jpg.chip,2
103,42,0,3,20170117135542270.jpg.chip,0
104,36,1,0,20170104164857729.jpg.chip,0
105,24,0,3,20170117145945091.jpg.chip,0
106,50,1,0,20170109012542626.jpg.chip,0
107,80,0,1,20170111205551658.jpg.chip,0
108,58,0,4,20170104213132981.jpg.chip,0
109,37,0,0,20170119202217510.jpg.chip,2
110,56,1,2,20170104201008890.jpg.chip,2
111,30,1,3,20170119195840428.jpg.chip,0
112,42,0,0,20170117185725872.jpg.chip,0
113,4,0,2,20170110213515094.jpg.chip,1
114,26,1,2,20170116180854138.jpg.chip,0
115,7,1,2,20161219141129768.jpg.chip,0
116,58,1,0,20170109150657263.jpg.chip,0
117,32,1,1,20170103162943271.jpg.chip,1
118,50,1,0,20170111182452949.jpg.chip,0
119,1,1,2,20161219211948405.jpg.chip,0
120,21,1,3,20170104222653479.jpg.chip,0
121,22,1,4,20170117143710577.jpg.chip,0
122,35,0,4,20170117204336319.jpg.chip,2
123,25,0,1,20170116002837310.jpg.chip,2
124,33,1,0,20170103163004757.jpg.chip,0
125,21,1,2,20170116171653891.jpg.chip,1
126,8,1,0,20170109194048333.jpg.chip,0
127,26,0,3,20170117154317645.jpg.chip,2
128,3,1,0,20170109190740324.jpg.chip,0
129,72,1,0,20170110125258812.jpg.chip,2
130,25,1,0,20170117151432922.jpg.chip,2
131,28,0,0,20170113210126785.jpg.chip,2
132,2,0,2,20161219221937375.jpg.chip,0
133,56,0,3,20170113190509801.jpg.chip,0
134,63,0,0,20170113173302611.jpg.chip,1
135,1,0,3,20161220220910514.jpg.chip,0
136,29,1,3,20170117183023311.jpg.chip,1
137,46,0,4,20170104202042473.jpg.chip,0
138,72,0,0,20170111195358992.jpg.chip,0
139,53,0,3,20170112220530017.jpg.chip,2
140,28,0,3,20170120220130530.jpg.chip,0
141,28,0,2,20170116193003015.jpg.chip,2
142,22,1,3,20170105002128188.jpg.chip,0
143,50,1,2,20170107212204715.jpg.chip,1
144,8,1,0,20170109203617429.jpg.chip,0
145,30,1,2,20170117092239284.jpg.chip,0
146,16,1,0,20170116214318225.jpg.chip,0
147,21,1,0,20170109213135260.jpg.chip,0
148,2,1,3,20161220220209321.jpg.chip,0
149,21,0,3,20170104225749698.jpg.chip,0
150,14,1,4,20170103201207132.jpg.chip,0
151,32,1,0,20170117123939602.jpg.chip,0
152,24,0,3,20170119165628798.jpg.chip,2
153,28,1,0,20170120140301800.jpg.chip,2
154,27,1,2,20170116163822402.jpg.chip,0
155,3,1,2,20161219162739430.jpg.chip,1
156,65,0,3,20170109143021566.jpg.chip,0
157,34,1,2,20170116171155691.jpg.chip,0
158,26,0,3,20170117153030981.jpg.chip,0
159,29,0,0,20170109002204336.jpg.chip,2
160,46,1,3,20170104183801700.jpg.chip,0
161,26,1,1,20170116225003486.jpg.chip,1
162,21,1,4,20170103180619480.jpg.chip,0
163,28,1,2,20170116164515900.jpg.chip,2
164,4,0,0,20170110213307248.jpg.chip,2
165,8,0,0,20170104230750674.jpg.chip,0
166,35,1,1,20170112215253641.jpg.chip,0
167,55,0,0,20170117135302098.jpg.chip,0
168,1,0,2,20161219204736996.jpg.chip,0
169,26,1,1,20170116232655628.jpg.chip,1
170,26,1,3,20170117174016693.jpg.chip,2
171,2,1,2,20161219204046924.jpg.chip,0
172,45,0,3,20170104220631406.jpg.chip,0
173,54,0,3,20170119211628321.jpg.chip,0
174,31,0,1,20170116142922375.jpg.chip,0
175,35,0,1,20170117094513411.jpg.chip,0
176,35,1,0,20170117170821193.jpg.chip,0
177,67,0,1,20170117143308243.jpg.chip,0
178,5,1,2,20161219153445412.jpg.chip,0
179,15,1,2,20170104015856031.jpg.chip,0
180,36,0,0,20170117135444550.jpg.chip,2
181,30,0,2,20170116172753303.jpg.chip,0
182,36,0,0,20170117183121900.jpg.chip,0
183,31,0,1,20170116024828447.jpg.chip,0
184,54,0,0,20170105164001139.jpg.chip,2
185,47,1,0,20170109012509904.jpg.chip,2
186,4,0,3,20161220221755018.jpg.chip,0
187,26,1,0,20170116153823864.jpg.chip,2
188,50,0,4,20170117203102320.jpg.chip,0
189,26,0,3,20170119184132638.jpg.chip,0
190,26,0,0,20170120134035224.jpg.chip,0
191,65,1,0,20170110125326249.jpg.chip,2
192,34,0,0,20170104174028507.jpg.chip,0
193,15,1,0,20170109204416506.jpg.chip,0
194,30,0,0,20170105164559132.jpg.chip,0
195,15,0,4,20170103201013615.jpg.chip,2
196,4,1,0,20170109190928456.jpg.chip,0
197,23,1,2,20170116173131148.jpg.chip,0
198,26,0,0,20170120134036223.jpg.chip,2
199,53,1,0,20170104184217989.jpg.chip,0
200,62,1,3,20170109132000815.jpg.chip,2
201,34,0,3,20170119200757565.jpg.chip,0
202,58,0,2,20170112205242580.jpg.chip,0
203,32,0,2,20170116184944206.jpg.chip,2
204,27,1,2,20170116184855653.jpg.chip,0
205,26,0,3,20170119180358932.jpg.chip,2
206,35,0,0,20170116232953930.jpg.chip,0
207,57,0,3,20170119201739436.jpg.chip,0
208,58,0,0,20170104213016013.jpg.chip,2
209,34,0,0,20170116232429422.jpg.chip,0
210,52,0,0,20170105173215909.jpg.chip,0
211,24,0,0,20170117150104363.jpg.chip,0
212,64,0,0,20170111203901318.jpg.chip,0
213,1,0,4,20161221192554517.jpg.chip,0
214,23,0,4,20170117194102020.jpg.chip,0
215,36,0,3,20170119194325042.jpg.chip,0
216,32,0,2,20170116180514896.jpg.chip,2
217,47,0,3,20170119205155167.jpg.chip,0
218,60,1,0,20170110154325940.jpg.chip,0
219,25,0,0,20170119171142840.jpg.chip,0
220,26,0,3,20170119184335552.jpg.chip,0
221,27,1,0,20170117202238951.jpg.chip,0
222,23,0,3,20170119163843478.jpg.chip,0
223,42,1,0,20170119204510263.jpg.chip,0
224,28,0,3,20170117144207130.jpg.chip,0
225,75,0,0,20170117191812939.jpg.chip,0
226,25,0,0,20170117203843296.jpg.chip,2
227,85,1,0,20170110183346968.jpg.chip,1
228,26,1,0,20170113210605337.jpg.chip,0
229,26,0,3,20170116232725357.jpg.chip,1
230,28,1,0,20170116213524092.jpg.chip,0
231,60,0,0,20170120221705045.jpg.chip,0
232,80,1,0,20170110141320400.jpg.chip,0
233,33,0,4,20170103235213148.jpg.chip,0
234,17,0,1,20170116182454836.jpg.chip,0
235,27,0,1,20170113182853263.jpg.chip,2
236,32,0,3,20170119200310531.jpg.chip,0
237,28,0,3,20170119194554827.jpg.chip,0
238,26,1,0,20170116184526152.jpg.chip,0
239,3,0,2,20161219192725995.jpg.chip,0
240,25,1,0,20170117143909681.jpg.chip,2
241,15,1,0,20170109204237329.jpg.chip,1
242,23,1,0,20170104234542547.jpg.chip,0
243,9,0,0,20170110225510191.jpg.chip,0
244,74,0,2,20170105174417462.jpg.chip,0
245,78,1,0,20170120230348881.jpg.chip,0
246,10,1,0,20170109204502951.jpg.chip,0
247,35,0,1,20170113134314369.jpg.chip,0
248,24,1,2,20170116164559724.jpg.chip,0
249,37,0,3,20170119202313708.jpg.chip,0
250,26,0,1,20170113151702303.jpg.chip,0
251,1,0,3,20161220220038618.jpg.chip,0
252,24,1,1,20170115235044207.jpg.chip,0
253,30,0,2,20170116173004384.jpg.chip,0
254,32,1,1,20170112224337978.jpg.chip,0
255,55,0,3,20170119201207516.jpg.chip,1
256,8,1,0,20170109201705598.jpg.chip,2
257,29,0,3,20170104232720881.jpg.chip,1
258,12,1,4,20170117201252893.jpg.chip,0
259,26,0,0,20170117173416661.jpg.chip,0
260,34,0,1,20170117010655969.jpg.chip,0
261,36,0,0,20170109003634534.jpg.chip,1
262,52,1,4,20170104185604990.jpg.chip,0
263,37,1,1,20170103183005866.jpg.chip,2
264,28,0,1,20170113161434836.jpg.chip,2
265,26,1,0,20170113000016345.jpg.chip,0
266,26,1,1,20170113012239224.jpg.chip,1
267,26,1,0,20170117171418571.jpg.chip,0
268,1,1,4,20161221201446945.jpg.chip,0
269,37,0,0,20170117183419508.jpg.chip,0
270,47,0,0,20170116204821089.jpg.chip,2
271,20,1,1,20170112191230798.jpg.chip,0
272,37,0,3,20170119194717603.jpg.chip,0
273,36,0,1,20170113183816777.jpg.chip,0
274,29,0,0,20170104165350776.jpg.chip,2
275,72,1,0,20170110140438240.jpg.chip,0
276,35,0,3,20170119191827257.jpg.chip,2
277,34,0,0,20170117134906182.jpg.chip,2
278,45,1,0,20170117175326912.jpg.chip,2
279,40,1,2,20170116191811650.jpg.chip,0
280,33,0,3,20170117154355516.jpg.chip,0
281,25,1,2,20170104015850244.jpg.chip,2
282,56,0,1,20170113174020731.jpg.chip,2
283,63,0,0,20170105173717909.jpg.chip,0
284,4,0,4,20161221195021183.jpg.chip,0
285,27,0,0,20170117202102927.jpg.chip,1
286,10,0,0,20170110224500062.jpg.chip,0
287,58,0,0,20170117195023639.jpg.chip,2
288,10,1,0,20170110220649364.jpg.chip,2
289,13,0,0,20170110224337867.jpg.chip,0
290,1,0,2,20161219205111061.jpg.chip,0
291,44,1,3,20170119172158321.jpg.chip,0
292,30,0,0,20170117142922282.jpg.chip,0
293,28,1,2,20170116190127787.jpg.chip,0
294,45,0,0,20170104211648292.jpg.chip,1
295,34,0,3,20170119200817301.jpg.chip,0
296,30,0,0,20170117181235740.jpg.chip,1
297,33,0,4,20170104172529099.jpg.chip,2
298,59,1,0,20170110122835196.jpg.chip,0
299,47,0,0,20170104184157446.jpg.chip,0
300,18,0,0,20170117133102084.jpg.chip,0
301,43,0,0,20170117155014385.jpg.chip,0
302,62,0,0,20170120223830886.jpg.chip,0
303,25,0,0,20170117135538311.jpg.chip,0
304,24,1,3,20170119171016977.jpg.chip,0
305,31,1,4,20170103230330201.jpg.chip,0
306,40,0,3,20170117154907806.jpg.chip,0
307,35,0,0,20170113183114846.jpg.chip,2
308,52,0,2,20170116183811379.jpg.chip,1
309,52,0,0,20170117154823449.jpg.chip,0
310,4,0,0,20170110211454141.jpg.chip,0
311,1,0,0,20161219204552941.jpg.chip,0
312,27,1,3,20170119193219282.jpg.chip,2
313,51,1,1,20170115235508848.jpg.chip,0
314,34,1,0,20170120221017644.jpg.chip,2
315,39,0,1,20170117185039604.jpg.chip,0
316,35,0,0,20170117155112202.jpg.chip,0
317,27,0,1,20170116193152719.jpg.chip,0
318,62,1,0,20170110122421679.jpg.chip,0
319,36,0,0,20170117135559253.jpg.chip,2
320,65,1,0,20170110132446063.jpg.chip,2
321,36,0,1,20170113142202668.jpg.chip,2
322,18,0,0,20170117140759528.jpg.chip,1
323,30,1,1,20170117133827950.jpg.chip,0
324,16,0,0,20170104003750790.jpg.chip,0
325,26,1,4,20170117201650134.jpg.chip,0
326,22,0,1,20170114033213586.jpg.chip,2
327,14,0,2,20170103201051263.jpg.chip,0
328,25,0,0,20170119145504925.jpg.chip,0
329,85,1,0,20170110184045236.jpg.chip,0
330,65,1,0,20170117172124978.jpg.chip,0
331,60,1,0,20170110143517260.jpg.chip,0
332,61,1,0,20170117175122341.jpg.chip,0
333,23,0,1,20170120133824503.jpg.chip,0
334,41,1,3,20170104235812019.jpg.chip,0
335,4,1,4,20170103230711649.jpg.chip,0
336,26,0,2,20170119184055239.jpg.chip,0
337,18,0,1,20170114030419966.jpg.chip,0
338,27,0,0,20170116215525646.jpg.chip,0
339,26,0,2,20170116181236791.jpg.chip,0
340,1,0,0,20170109193030605.jpg.chip,0
341,25,0,3,20170117151819492.jpg.chip,0
342,54,0,4,20170104212703396.jpg.chip,0
343,44,1,1,20170113001952364.jpg.chip,0
344,47,0,3,20170119152344615.jpg.chip,0
345,26,0,1,20170116192453842.jpg.chip,1
346,26,0,0,20170116233047853.jpg.chip,0
347,27,1,2,20170116162949938.jpg.chip,2
348,29,0,0,20170116221002399.jpg.chip,1
349,1,1,4,20161221202046857.jpg.chip,2
350,33,0,0,20170116232429422.jpg.chip,0
351,52,0,0,20170111203259661.jpg.chip,0
352,24,1,1,20170113003752421.jpg.chip,0
353,1,0,2,20161219222527222.jpg.chip,0
354,26,1,3,20170119193139994.jpg.chip,0
355,22,0,4,20161221200222680.jpg.chip,0
356,16,0,0,20170110232714508.jpg.chip,0
357,30,0,0,20170117152404661.jpg.chip,0
358,24,1,3,20170104231939707.jpg.chip,0
359,23,1,2,20170116173210232.jpg.chip,2
360,26,1,2,20170116184051103.jpg.chip,1
361,2,0,2,20161219203844252.jpg.chip,0
362,57,1,3,20170105001132532.jpg.chip,2
363,27,1,2,20170116163118798.jpg.chip,0
364,36,1,1,20170116175558494.jpg.chip,0
365,80,0,0,20170111211324676.jpg.chip,2
366,1,0,2,20161219201403764.jpg.chip,0
367,34,0,3,20170119171624184.jpg.chip,0
368,15,0,3,20170105183235993.jpg.chip,0
369,88,1,0,20170120140102078.jpg.chip,2
370,62,1,1,20170117183835889.jpg.chip,0
371,2,0,2,20161219142243497.jpg.chip,0
372,18,0,0,20170117140129888.jpg.chip,0
373,1,0,1,20170112211228948.jpg.chip,0
374,72,0,2,20170112205543070.jpg.chip,0
375,1,0,2,20161219162719255.jpg.chip,0
376,69,1,0,20170110131727840.jpg.chip,1
377,32,1,3,20170104223356184.jpg.chip,0
378,24,1,2,20170116171513182.jpg.chip,2
379,32,1,3,20170119200442740.jpg.chip,0
380,29,0,0,20170104165947522.jpg.chip,2
381,2,1,2,20161219222030167.jpg.chip,0
382,36,0,0,20170105171802956.jpg.chip,1
383,75,0,2,20170112220538967.jpg.chip,0
384,28,1,0,20170116000534759.jpg.chip,0
385,82,0,0,20170111222624743.jpg.chip,0
386,18,1,2,20170104020424141.jpg.chip,2
387,89,0,0,20170111205835604.jpg.chip,2
388,1,1,2,20161219154612988.jpg.chip,0
389,26,1,2,20170116183752068.jpg.chip,2
390,18,1,1,20170116164854853.jpg.chip,0
391,65,1,3,20170119201536077.jpg.chip,0
392,18,0,0,20170103201308008.jpg.chip,0
393,3,1,4,20161221201429017.jpg.chip,0
394,24,1,4,20170117194848067.jpg.chip,2
395,37,0,4,20170117135943573.jpg.chip,0
396,2,1,3,20161219225623600.jpg.chip,0
397,58,1,0,20170110140856753.jpg.chip,0
398,1,0,2,20161219141817185.jpg.chip,0
399,9,0,0,20170110225101384.jpg.chip,0
400,36,0,0,20170117181851709.jpg.chip,2
401,30,0,0,20170117145938915.jpg.chip,2
402,26,0,1,20170113135255058.jpg.chip,0
403,30,0,1,20170117123914245.jpg.chip,0
404,24,1,0,20170116211933213.jpg.chip,0
405,27,1,1,20170114024839447.jpg.chip,0
406,35,0,0,20170116222932357.jpg.chip,0
407,41,1,0,20170111182452877.jpg.chip,0
408,5,1,2,20161219142021464.jpg.chip,0
409,49,0,2,20170104021434588.jpg.chip,1
410,55,1,0,20170117152514923.jpg.chip,0
411,65,1,0,20170110140804905.jpg.chip,0
412,35,0,3,20170119201343148.jpg.chip,2
413,51,0,0,20170109012546903.jpg.chip,2
414,23,1,0,20170116221715630.jpg.chip,2
415,32,1,1,20170112234109369.jpg.chip,2
416,7,0,0,20170110215615139.jpg.chip,1
417,36,0,1,20170113195937061.jpg.chip,0
418,24,1,0,20170117150848786.jpg.chip,2
419,1,0,2,20161219221908887.jpg.chip,0
420,45,0,0,20170117183618006.jpg.chip,1
421,25,0,1,20170113175802374.jpg.chip,2
422,33,1,0,20170111182452825.jpg.chip,2
423,25,1,4,20170103224747408.jpg.chip,2
424,26,1,0,20170117091452417.jpg.chip,0
425,54,0,3,20170119201443709.jpg.chip,2
426,14,0,3,20170104225245755.jpg.chip,0
427,36,0,3,20170119183738087.jpg.chip,0
428,22,0,2,20170116220743409.jpg.chip,2
429,34,0,0,20170116215618294.jpg.chip,0
430,35,1,1,20170117203407119.jpg.chip,0
431,66,1,0,20170110123144558.jpg.chip,0
432,27,1,1,20170117013838382.jpg.chip,2
433,24,1,0,20170116174513932.jpg.chip,2
434,42,0,0,20170113185424528.jpg.chip,0
435,31,1,1,20170116175710225.jpg.chip,0
436,65,0,0,20170104185405486.jpg.chip,1
437,1,0,0,20170110212733875.jpg.chip,0
438,31,0,3,20170119200050628.jpg.chip,2
439,22,1,2,20170116220943302.jpg.chip,2
440,25,0,2,20170116161907519.jpg.chip,0
441,54,0,3,20170117155453576.jpg.chip,0
442,22,0,3,20170104230121056.jpg.chip,0
443,1,1,4,20161221202528425.jpg.chip,2
444,32,1,0,20170117170718385.jpg.chip,0
445,24,1,1,20170114025128077.jpg.chip,0
446,54,0,0,20170109010040814.jpg.chip,2
447,39,0,0,20170117131210937.jpg.chip,2
448,22,1,4,20170104001853773.jpg.chip,2
449,50,0,3,20170119205537439.jpg.chip,2
450,4,1,4,20170103205256107.jpg.chip,2
451,1,1,3,20161219225943008.jpg.chip,0
452,32,0,1,20170113141523611.jpg.chip,0
453,1,0,3,20161219225616560.jpg.chip,0
454,40,0,3,20170119191805016.jpg.chip,0
455,57,1,0,20170109015631419.jpg.chip,0
456,39,1,1,20170113012940833.jpg.chip,0
457,26,0,0,20170113210127413.jpg.chip,2
458,16,0,3,20170116030352295.jpg.chip,0
459,13,0,0,20170104012531409.jpg.chip,0
460,31,1,2,20170104020444076.jpg.chip,0
461,40,1,0,20170105173401214.jpg.chip,0
462,52,0,2,20170116192904934.jpg.chip,0
463,58,0,3,20170119211544361.jpg.chip,0
464,39,1,1,20170112214959310.jpg.chip,1
465,45,0,3,20170119154224697.jpg.chip,1
466,24,1,0,20170105183749799.jpg.chip,0
467,50,0,2,20170116173539623.jpg.chip,0
468,48,1,1,20170109142322529.jpg.chip,0
469,5,0,2,20161219192745531.jpg.chip,0
470,61,0,3,20170119211817688.jpg.chip,1
471,55,0,2,20170109013414020.jpg.chip,0
472,32,1,0,20170113010345079.jpg.chip,0
473,26,1,1,20170116153234172.jpg.chip,0
474,61,1,0,20170120225333848.jpg.chip,0
475,25,1,0,20170117195324293.jpg.chip,0
476,29,1,2,20170116163403273.jpg.chip,0
477,41,1,0,20170117135713137.jpg.chip,0
478,2,1,1,20170109194517710.jpg.chip,0
479,42,0,2,20170119204318272.jpg.chip,2
480,86,1,0,20170120134855602.jpg.chip,0
481,23,1,0,20170116221815459.jpg.chip,0
482,3,0,2,20161219162657782.jpg.chip,1
483,65,0,0,20170117171624306.jpg.chip,0
484,37,0,2,20170116184952701.jpg.chip,0
485,41,1,1,20170117135759031.jpg.chip,0
486,29,0,1,20170113154817089.jpg.chip,0
487,65,0,0,20170120221840421.jpg.chip,2
488,3,1,0,20170104005119728.jpg.chip,1
489,26,0,3,20170119180341844.jpg.chip,2
490,60,1,3,20170119171437890.jpg.chip,0
491,33,1,0,20170103183912066.jpg.chip,0
492,17,1,0,20170109213518093.jpg.chip,0
493,35,1,0,20170103183207120.jpg.chip,2
494,21,1,2,20170116175142157.jpg.chip,0
495,38,1,0,20170116211611769.jpg.chip,0
496,17,0,3,20170104225734512.jpg.chip,0
497,68,1,0,20170110175311202.jpg.chip,0
498,27,0,0,20170117144505322.jpg.chip,0
499,47,0,4,20170104002132109.jpg.chip,0
500,30,1,3,20170117132645658.jpg.chip,0
501,52,1,0,20170103163659575.jpg.chip,0
502,31,1,1,20170112235015193.jpg.chip,0
503,50,0,0,20170120222254255.jpg.chip,2
504,31,1,4,20161221193256437.jpg.chip,2
505,24,1,2,20170116171607480.jpg.chip,0
506,40,0,0,20170117181229922.jpg.chip,0
507,26,1,3,20170119180953860.jpg.chip,1
508,21,0,1,20170116215535068.jpg.chip,0
509,32,0,1,20170116002236204.jpg.chip,0
510,38,1,3,20170105001035965.jpg.chip,0
511,62,0,1,20170111204710125.jpg.chip,2
512,90,1,0,20170110183737626.jpg.chip,0
513,47,0,3,20170119202123349.jpg.chip,2
514,29,0,0,20170104201134466.jpg.chip,0
515,26,0,2,20170116183023692.jpg.chip,0
516,35,0,0,20170117134938738.jpg.chip,0
517,1,0,2,20161219205313061.jpg.chip,1
518,22,0,4,20170103201524479.jpg.chip,2
519,29,1,1,20170116003411532.jpg.chip,2
520,25,1,0,20170117143916425.jpg.chip,0
521,20,0,0,20170120133547085.jpg.chip,0
522,39,1,1,20170117140914763.jpg.chip,1
523,37,0,0,20170117120612576.jpg.chip,0
524,30,1,2,20170116184611730.jpg.chip,1
525,59,0,4,20170105173702564.jpg.chip,0
526,47,0,3,20170119205241615.jpg.chip,1
527,9,0,0,20170110224737016.jpg.chip,0
528,27,0,0,20170117195011835.jpg.chip,0
529,24,0,4,20170115205946148.jpg.chip,0
530,65,0,0,20170113185234983.jpg.chip,0
531,75,0,0,20170111204851535.jpg.chip,0
532,30,0,3,20170117143039026.jpg.chip,0
533,29,0,3,20170119195115251.jpg.chip,0
534,32,1,3,20170119200439598.jpg.chip,0
535,34,0,1,20170113152756632.jpg.chip,0
536,34,0,3,20170119171627440.jpg.chip,0
537,35,1,1,20170117190321049.jpg.chip,1
538,40,1,0,20170105172927477.jpg.chip,0
539,54,1,0,20170110160643344.jpg.chip,0
540,24,1,0,20170116222626783.jpg.chip,0
541,23,1,2,20170116172812034.jpg.chip,0
542,26,1,2,20170116184448240.jpg.chip,2
543,39,0,0,20170104181509148.jpg.chip,0
544,26,1,3,20170119193126946.jpg.chip,1
545,22,1,0,20170103180211110.jpg.chip,0
546,4,1,4,20161221202257809.jpg.chip,0
547,2,1,2,20161219151908347.jpg.chip,0
548,65,1,0,20170120222039350.jpg.chip,0
549,52,0,0,20170104212253932.jpg.chip,0
550,45,0,0,20170117135056152.jpg.chip,2
551,11,0,0,20170110224408700.jpg.chip,0
552,51,1,0,20170104183749773.jpg.chip,0
553,1,0,0,20170110212652648.jpg.chip,0
554,24,0,2,20170116162912973.jpg.chip,2
555,42,0,1,20170117171124190.jpg.chip,0
556,35,1,0,20170105162358962.jpg.chip,2
557,30,1,4,20170103182430449.jpg.chip,0
558,26,1,2,20170116175333732.jpg.chip,0
559,62,0,1,20170113175129604.jpg.chip,2
560,56,1,3,20170119192943673.jpg.chip,0
561,34,0,3,20170119171236256.jpg.chip,0
562,23,1,0,20170103180412080.jpg.chip,0
563,2,0,2,20161219162438366.jpg.chip,0
564,26,1,2,20170116184242565.jpg.chip,0
565,26,0,1,20170113134249474.jpg.chip,0
566,96,1,2,20170110182526540.jpg.chip,0
567,28,0,3,20170109002910810.jpg.chip,0
568,35,0,0,20170117203240562.jpg.chip,0
569,89,1,3,20170110182042731.jpg.chip,0
570,26,0,0,20170113210605270.jpg.chip,0
571,43,1,0,20170103183401202.jpg.chip,0
572,60,0,3,20170119205757055.jpg.chip,2
573,23,0,4,20170117194048925.jpg.chip,0
574,1,1,0,20170109194410994.jpg.chip,1
575,4,1,0,20170109201102915.jpg.chip,0
576,60,0,1,20170113152726713.jpg.chip,0
577,65,0,2,20170111205651706.jpg.chip,0
578,12,0,0,20170110232735095.jpg.chip,0
579,105,1,0,20170112213021902.jpg.chip,0
580,58,0,0,20170111195348887.jpg.chip,1
581,30,1,1,20170112215047361.jpg.chip,0
582,22,0,1,20170110223418177.jpg.chip,0
